danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre_tag,Genre
0.863,0.626,7,-6.32,1,0.359,0.00936,0.0,0.0946,0.705,149.915,audio_features,06R3hA4D1jyj8f8untfQNB,spotify:track:06R3hA4D1jyj8f8untfQNB,https://api.spotify.com/v1/tracks/06R3hA4D1jyj8f8untfQNB,https://api.spotify.com/v1/audio-analysis/06R3hA4D1jyj8f8untfQNB,144043,4,1,Rap
0.943,0.641,1,-5.598,1,0.191,0.0016,0.0,0.211,0.242,99.099,audio_features,5EzL7hGT9g2Tvqsy158Lu9,spotify:track:5EzL7hGT9g2Tvqsy158Lu9,https://api.spotify.com/v1/tracks/5EzL7hGT9g2Tvqsy158Lu9,https://api.spotify.com/v1/audio-analysis/5EzL7hGT9g2Tvqsy158Lu9,218333,4,1,Rap
0.825,0.458,0,-7.47,1,0.0577,0.114,0.0,0.102,0.161,145.115,audio_features,3nS9a01VvXHQriLqJYwRqG,spotify:track:3nS9a01VvXHQriLqJYwRqG,https://api.spotify.com/v1/tracks/3nS9a01VvXHQriLqJYwRqG,https://api.spotify.com/v1/audio-analysis/3nS9a01VvXHQriLqJYwRqG,197760,4,1,Rap
0.688,0.647,2,-7.258,1,0.19,0.00815,1.65e-05,0.095,0.195,88.834,audio_features,25zlnOAzbVoOzIeXSvQFf1,spotify:track:25zlnOAzbVoOzIeXSvQFf1,https://api.spotify.com/v1/tracks/25zlnOAzbVoOzIeXSvQFf1,https://api.spotify.com/v1/audio-analysis/25zlnOAzbVoOzIeXSvQFf1,164580,4,1,Rap
0.926,0.542,1,-5.064,1,0.293,0.135,0.0,0.0877,0.564,135.14,audio_features,6gxKUmycQX7uyMwJcweFjp,spotify:track:6gxKUmycQX7uyMwJcweFjp,https://api.spotify.com/v1/tracks/6gxKUmycQX7uyMwJcweFjp,https://api.spotify.com/v1/audio-analysis/6gxKUmycQX7uyMwJcweFjp,181929,4,1,Rap
0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.977,audio_features,7ytR5pFWmSjzHJIeQkgog4,spotify:track:7ytR5pFWmSjzHJIeQkgog4,https://api.spotify.com/v1/tracks/7ytR5pFWmSjzHJIeQkgog4,https://api.spotify.com/v1/audio-analysis/7ytR5pFWmSjzHJIeQkgog4,181733,4,1,Rap
0.904,0.672,1,-6.544,1,0.197,0.00382,3e-06,0.138,0.398,139.984,audio_features,5Tj4faD9lGyMw8ZatUYR6G,spotify:track:5Tj4faD9lGyMw8ZatUYR6G,https://api.spotify.com/v1/tracks/5Tj4faD9lGyMw8ZatUYR6G,https://api.spotify.com/v1/audio-analysis/5Tj4faD9lGyMw8ZatUYR6G,180935,4,1,Rap
0.868,0.638,2,-7.746,1,0.0736,0.146,0.0565,0.0931,0.459,126.03,audio_features,7v96VvFLS0wSYT8kewNLRy,spotify:track:7v96VvFLS0wSYT8kewNLRy,https://api.spotify.com/v1/tracks/7v96VvFLS0wSYT8kewNLRy,https://api.spotify.com/v1/audio-analysis/7v96VvFLS0wSYT8kewNLRy,182857,4,1,Rap
0.783,0.479,7,-10.646,1,0.541,0.149,0.0,0.101,0.533,176.027,audio_features,3JKgcAa7r07ocVWcV8bS0H,spotify:track:3JKgcAa7r07ocVWcV8bS0H,https://api.spotify.com/v1/tracks/3JKgcAa7r07ocVWcV8bS0H,https://api.spotify.com/v1/audio-analysis/3JKgcAa7r07ocVWcV8bS0H,163798,4,1,Rap
0.945,0.662,6,-6.581,1,0.24,0.0326,1.17e-05,0.124,0.782,124.01,audio_features,67K5Ki1bLemeOlN012sip8,spotify:track:67K5Ki1bLemeOlN012sip8,https://api.spotify.com/v1/tracks/67K5Ki1bLemeOlN012sip8,https://api.spotify.com/v1/audio-analysis/67K5Ki1bLemeOlN012sip8,140467,4,1,Rap
0.694,0.685,6,-6.535,0,0.133,0.224,0.0,0.124,0.306,158.831,audio_features,6wQlQrTY5mVS8EGaFZVwVF,spotify:track:6wQlQrTY5mVS8EGaFZVwVF,https://api.spotify.com/v1/tracks/6wQlQrTY5mVS8EGaFZVwVF,https://api.spotify.com/v1/audio-analysis/6wQlQrTY5mVS8EGaFZVwVF,196180,4,1,Rap
0.752,0.313,0,-19.736,1,0.414,0.136,0.0,0.119,0.514,148.034,audio_features,5DBdAu8Zs7YMWODjuFq6EX,spotify:track:5DBdAu8Zs7YMWODjuFq6EX,https://api.spotify.com/v1/tracks/5DBdAu8Zs7YMWODjuFq6EX,https://api.spotify.com/v1/audio-analysis/5DBdAu8Zs7YMWODjuFq6EX,223974,4,1,Rap
0.406,0.524,5,-11.071,1,0.255,0.469,3.95e-06,0.117,0.412,56.046,audio_features,5OkYfk72CNL8XLqa3gp9q7,spotify:track:5OkYfk72CNL8XLqa3gp9q7,https://api.spotify.com/v1/tracks/5OkYfk72CNL8XLqa3gp9q7,https://api.spotify.com/v1/audio-analysis/5OkYfk72CNL8XLqa3gp9q7,282560,4,1,Rap
0.61,0.569,10,-9.447,0,0.345,0.0398,0.0,0.337,0.287,81.409,audio_features,0FlfN5cbUUpIHCRH8X1M44,spotify:track:0FlfN5cbUUpIHCRH8X1M44,https://api.spotify.com/v1/tracks/0FlfN5cbUUpIHCRH8X1M44,https://api.spotify.com/v1/audio-analysis/0FlfN5cbUUpIHCRH8X1M44,304640,4,1,Rap
0.837,0.482,8,-8.608,0,0.365,0.268,0.0,0.0991,0.444,143.01,audio_features,2h4cmbyb6S7e8igDZIITJU,spotify:track:2h4cmbyb6S7e8igDZIITJU,https://api.spotify.com/v1/tracks/2h4cmbyb6S7e8igDZIITJU,https://api.spotify.com/v1/audio-analysis/2h4cmbyb6S7e8igDZIITJU,169532,4,1,Rap
0.764,0.54,1,-8.73,0,0.225,0.243,0.0,0.0846,0.54,155.109,audio_features,6ighVlHNMvUaIdwKlJ0hA7,spotify:track:6ighVlHNMvUaIdwKlJ0hA7,https://api.spotify.com/v1/tracks/6ighVlHNMvUaIdwKlJ0hA7,https://api.spotify.com/v1/audio-analysis/6ighVlHNMvUaIdwKlJ0hA7,136445,4,1,Rap
0.809,0.68,4,-4.883,1,0.222,0.0535,1.2e-06,0.11,0.0653,143.988,audio_features,5esKpsrB3TbGHwFaAjIGMx,spotify:track:5esKpsrB3TbGHwFaAjIGMx,https://api.spotify.com/v1/tracks/5esKpsrB3TbGHwFaAjIGMx,https://api.spotify.com/v1/audio-analysis/5esKpsrB3TbGHwFaAjIGMx,146009,4,1,Rap
0.954,0.696,10,-7.117,0,0.204,0.00576,0.000498,0.0754,0.432,100.036,audio_features,4Hpib09wXgD84w4uwTPnYD,spotify:track:4Hpib09wXgD84w4uwTPnYD,https://api.spotify.com/v1/tracks/4Hpib09wXgD84w4uwTPnYD,https://api.spotify.com/v1/audio-analysis/4Hpib09wXgD84w4uwTPnYD,139413,4,1,Rap
0.709,0.679,11,-6.503,0,0.346,0.0115,0.0,0.0971,0.754,162.973,audio_features,2T5NBwKRySiCR78vVk08vr,spotify:track:2T5NBwKRySiCR78vVk08vr,https://api.spotify.com/v1/tracks/2T5NBwKRySiCR78vVk08vr,https://api.spotify.com/v1/audio-analysis/2T5NBwKRySiCR78vVk08vr,153467,4,1,Rap
