danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre_tag,Genre
0.721,0.277,1,-7.128,1,0.0365,0.634,0.0,0.112,0.309,131.935,audio_features,5ovVcYo2MvjVydFwFyaaqy,spotify:track:5ovVcYo2MvjVydFwFyaaqy,https://api.spotify.com/v1/tracks/5ovVcYo2MvjVydFwFyaaqy,https://api.spotify.com/v1/audio-analysis/5ovVcYo2MvjVydFwFyaaqy,171827,4,2,Country
0.643,0.79,4,-6.079,1,0.0462,0.294,0.0,0.107,0.8,95.987,audio_features,14GwnOeC9qYEKEA6uOZepa,spotify:track:14GwnOeC9qYEKEA6uOZepa,https://api.spotify.com/v1/tracks/14GwnOeC9qYEKEA6uOZepa,https://api.spotify.com/v1/audio-analysis/14GwnOeC9qYEKEA6uOZepa,188893,4,2,Country
0.641,0.929,2,-5.287,1,0.0709,0.122,0.000632,0.129,0.551,101.991,audio_features,0p16vTKfS8UpdZJqfaKMCB,spotify:track:0p16vTKfS8UpdZJqfaKMCB,https://api.spotify.com/v1/tracks/0p16vTKfS8UpdZJqfaKMCB,https://api.spotify.com/v1/audio-analysis/0p16vTKfS8UpdZJqfaKMCB,182235,4,2,Country
0.572,0.949,4,-4.865,1,0.06,0.00165,0.000195,0.163,0.53,118.974,audio_features,0nYvjcSlCgjcwogQAwIwNp,spotify:track:0nYvjcSlCgjcwogQAwIwNp,https://api.spotify.com/v1/tracks/0nYvjcSlCgjcwogQAwIwNp,https://api.spotify.com/v1/audio-analysis/0nYvjcSlCgjcwogQAwIwNp,194867,4,2,Country
0.633,0.732,0,-6.995,1,0.0351,0.000475,0.0,0.108,0.515,103.019,audio_features,3t2xlkvPsrcyia0eBaCZ53,spotify:track:3t2xlkvPsrcyia0eBaCZ53,https://api.spotify.com/v1/tracks/3t2xlkvPsrcyia0eBaCZ53,https://api.spotify.com/v1/audio-analysis/3t2xlkvPsrcyia0eBaCZ53,219193,4,2,Country
0.661,0.633,7,-5.986,1,0.0349,0.038,2.82e-06,0.124,0.613,81.984,audio_features,0kPeZAyIhIfeZNrtfjJGDB,spotify:track:0kPeZAyIhIfeZNrtfjJGDB,https://api.spotify.com/v1/tracks/0kPeZAyIhIfeZNrtfjJGDB,https://api.spotify.com/v1/audio-analysis/0kPeZAyIhIfeZNrtfjJGDB,209760,4,2,Country
0.465,0.61,1,-5.302,1,0.0317,0.625,8.28e-05,0.128,0.235,83.664,audio_features,7F0fPQWt7E2jjreRSZOdna,spotify:track:7F0fPQWt7E2jjreRSZOdna,https://api.spotify.com/v1/tracks/7F0fPQWt7E2jjreRSZOdna,https://api.spotify.com/v1/audio-analysis/7F0fPQWt7E2jjreRSZOdna,166928,4,2,Country
0.624,0.903,6,-3.046,1,0.0347,0.00824,0.0,0.309,0.724,116.99,audio_features,4lSfhHd5Knwl8yQw2cVjAD,spotify:track:4lSfhHd5Knwl8yQw2cVjAD,https://api.spotify.com/v1/tracks/4lSfhHd5Knwl8yQw2cVjAD,https://api.spotify.com/v1/audio-analysis/4lSfhHd5Knwl8yQw2cVjAD,211430,4,2,Country
0.578,0.869,2,-4.483,1,0.0355,0.0149,0.0,0.346,0.699,160.072,audio_features,1Jn0osXy1WcDyniHgs67jT,spotify:track:1Jn0osXy1WcDyniHgs67jT,https://api.spotify.com/v1/tracks/1Jn0osXy1WcDyniHgs67jT,https://api.spotify.com/v1/audio-analysis/1Jn0osXy1WcDyniHgs67jT,185023,4,2,Country
0.538,0.941,4,-3.582,1,0.0639,0.0227,0.0,0.302,0.585,140.044,audio_features,16kqEZBfhhK8XlQpauKej1,spotify:track:16kqEZBfhhK8XlQpauKej1,https://api.spotify.com/v1/tracks/16kqEZBfhhK8XlQpauKej1,https://api.spotify.com/v1/audio-analysis/16kqEZBfhhK8XlQpauKej1,184554,4,2,Country
